Log File,Test,Scaling,Count,Size,Average Time (s)
perf_dot_product_omp_strong.txt,perf_dot_product_omp_strong,strong,1,1000000,0.018945
perf_dot_product_omp_strong.txt,perf_dot_product_omp_strong,strong,2,1000000,0.009563
perf_dot_product_omp_strong.txt,perf_dot_product_omp_strong,strong,4,1000000,0.005147
perf_dot_product_omp_strong.txt,perf_dot_product_omp_strong,strong,8,1000000,0.002855
perf_dot_product_omp_strong.txt,perf_dot_product_omp_strong,strong,16,1000000,0.002148
perf_dot_product_omp_strong.txt,perf_dot_product_omp_strong,strong,32,1000000,0.002326
perf_dot_product_pthreads_weak.txt,perf_dot_product_pthreads_weak,weak,1,1000000,0.018841
perf_dot_product_pthreads_weak.txt,perf_dot_product_pthreads_weak,weak,2,2000000,0.019223
perf_dot_product_pthreads_weak.txt,perf_dot_product_pthreads_weak,weak,4,4000000,0.019317
perf_dot_product_pthreads_weak.txt,perf_dot_product_pthreads_weak,weak,8,8000000,0.021132
perf_dot_product_pthreads_weak.txt,perf_dot_product_pthreads_weak,weak,16,16000000,0.021843
perf_dot_product_pthreads_weak.txt,perf_dot_product_pthreads_weak,weak,32,32000000,0.025774
perf_dot_product_omp_weak.txt,perf_dot_product_omp_weak,weak,1,1000000,0.018947
perf_dot_product_omp_weak.txt,perf_dot_product_omp_weak,weak,2,2000000,0.018992
perf_dot_product_omp_weak.txt,perf_dot_product_omp_weak,weak,4,4000000,0.01919
perf_dot_product_omp_weak.txt,perf_dot_product_omp_weak,weak,8,8000000,0.01938
perf_dot_product_omp_weak.txt,perf_dot_product_omp_weak,weak,16,16000000,0.018977
perf_dot_product_omp_weak.txt,perf_dot_product_omp_weak,weak,32,32000000,0.019915
perf_dot_product_pthreads_strong.txt,perf_dot_product_pthreads_strong,strong,1,1000000,0.018926
perf_dot_product_pthreads_strong.txt,perf_dot_product_pthreads_strong,strong,2,1000000,0.009952
perf_dot_product_pthreads_strong.txt,perf_dot_product_pthreads_strong,strong,4,1000000,0.005711
perf_dot_product_pthreads_strong.txt,perf_dot_product_pthreads_strong,strong,8,1000000,0.004799
perf_dot_product_pthreads_strong.txt,perf_dot_product_pthreads_strong,strong,16,1000000,0.006787
perf_dot_product_pthreads_strong.txt,perf_dot_product_pthreads_strong,strong,32,1000000,0.012381
